content,device,like,rcount,ctime,avatar,level,sex,sign,uname,mid,oid,diag
dji，yes！,,59,5,,http://i2.hdslb.com/bfs/face/c1bfc931e523c78e765ed2a9685483014ba40559.jpg,4,保密,"诞生于抗日烽火之中，崛起于民族复兴之时。
静思笃行，持中秉正。

投稿邮箱：1213615533@qq.com
合作请加：Luwis61",江西师范大学,487631896,842473459,原评论
公号私用？,,3,0,,http://i0.hdslb.com/bfs/face/ef80bde4f75a819ada14be34ba8842c7ee824b79.jpg,4,保密,,若月枫,274910604,842473459,原评论
江西师范惊了[doge],,0,0,,http://i1.hdslb.com/bfs/face/27c3f49ab5cd8cfd6ead8697d88f00e34987e103.jpg,4,保密,西瓜，爱好摄影  ins：zwx598890236,CaptainGoodguy,2399917,842473459,原评论
DJI YYDS,,0,0,,http://i1.hdslb.com/bfs/face/9df780ceb56bd4dd51f25ebaaf94606305ddaaa1.jpg,5,保密,,nothingllam,267387088,842473459,原评论
SC可以加钱升级吗,,29,11,,http://i1.hdslb.com/bfs/face/a6d82fc35a45adfd40eb8f82436ecf26e84d4f41.jpg,5,男,一名朴实无华且枯燥的数码科技狗,籽籽爱分享,321981297,842473459,原评论
你好，sc可以来我这里换一个不锈钢脸盆,,12,0,,http://i0.hdslb.com/bfs/face/member/noface.jpg,4,保密,,协处理器,3526415,842473459,原评论
同问,,3,0,,http://i1.hdslb.com/bfs/face/b172bfe14bdcc4c2aa55f0014201cf707167ff99.jpg,5,保密,歪さん  ,言为若生,176856458,842473459,原评论
"可以的, 抵扣500块钱, 还得是成色最好的~ 这就是官方置换所谓的",,1,0,,http://i2.hdslb.com/bfs/face/bc4136ef814f4b73ddb1a235b4ecdf31802db1d3.jpg,4,男,摄影~摄像~航拍~延时~剪辑~调色  样样不精..,Iytoa2899,268853216,842473459,原评论
有人拼单吗？135我用，246你用，因为我是发起者，所以我多用一天周日,,23,2,,http://i2.hdslb.com/bfs/face/0651f2731ea63b13ea369636537624cd08245ca9.jpg,5,保密,,败笔绘青烟,7280336,842473459,原评论
一起吃灰,,0,0,,http://i0.hdslb.com/bfs/face/646b987ad6ee98ed3d9a23f1f659b664395b2cbd.jpg,5,男,,烦恼蝴,94702893,842473459,原评论
牛批[辣眼睛],,0,0,,http://i1.hdslb.com/bfs/face/e297093af7c5c4bf4cb321c0034f328272162cf4.jpg,5,保密,观天下，纵古今，儒释道方为解决之道。,入世-出世,86874768,842473459,原评论
Osmo action2呢,phone,16,1,,http://i2.hdslb.com/bfs/face/a7de9a60ff12cd07a818d872fedcf9859c77c276.jpg,5,男,愣着啊！点赞干啥。。。,放学和我去小卖部,223083754,842473459,原评论
没有了[大哭],,0,0,,http://i2.hdslb.com/bfs/face/3a8a822ed1f7134804ec34070cbdf989af056c8b.jpg,3,保密,"一直藏于人后的技术宅
平凡的出身，做着一些不平凡的事情
讲述我的100个故事
愿我们不负遇见",凌云纯属奇迹,477314092,842473459,原评论
跟我一起喊！！DJI YES！！[妙啊][妙啊],,10,0,,http://i0.hdslb.com/bfs/face/c1a52d43dd33fa272873fe96f9cfc6cce178f0a9.jpg,4,保密,,顾柚柚柚,34276031,842473459,原评论
[doge]机甲大师云台联名款,,9,0,,http://i1.hdslb.com/bfs/face/6b21708370377b0fe3d022b3d6d08d6b5ba27795.jpg,5,男,aolilive一期生，永远爱你们的腰果酱！,腰果酱Offical,76103850,842473459,原评论
衝衝衝，DJI，Yes,phone,3,0,,http://i2.hdslb.com/bfs/face/23001b465ea411e16c678191538f3c1e559fd049.jpg,5,保密,"这个人一点都不懒
",我什麼時候到六級,14943449,842473459,原评论
本来差点咸鱼买1399的一代尾货了，现在……再观望观望吧，要么咬咬牙二代要么一代整个999横竖不亏[喜极而泣],,5,5,,http://i1.hdslb.com/bfs/face/01cc067cf56d4921ae37158dcbc6cf80541e8d79.jpg,5,男,这个人懒死了，就写了这么一点(｡･ω･｡)ﾉ,gqwlhj全家桶,192892896,842473459,原评论
1399有了？我2千入的二手,,1,0,,http://i1.hdslb.com/bfs/face/62d63c07618abf3da33a74b6c24643b869e0fd75.jpg,4,男,,starpc,96290445,842473459,原评论
回复 @starpc :咸鱼随便搜搜就有，全新未激活的。再说某宝现在也只卖1699啊,phone,0,0,,http://i1.hdslb.com/bfs/face/01cc067cf56d4921ae37158dcbc6cf80541e8d79.jpg,5,男,这个人懒死了，就写了这么一点(｡･ω･｡)ﾉ,gqwlhj全家桶,192892896,842473459,原评论
回复 @Steven睡不醒 :不用手机的智能跟随（好像）,,0,0,,http://i1.hdslb.com/bfs/face/d777b92cc3e3ec5c681e390a1f4848fa17121daf.jpg,4,男,不要害怕路上会出现什么，害怕的话就无法往前走。只要踏出脚步，自然能够走出道路。,孤孤单单小彩加,483642332,842473459,原评论
好家伙，就差钱了[doge],,5,0,,http://i2.hdslb.com/bfs/face/bd9eacabbfc13220d51523096bcdb27ef248b1ec.jpg,4,保密,昔我往矣，杨柳依依。今我来思，雨雪霏霏。,青藤门客,128424708,842473459,原评论
大疆的新一轮革命  开始了,,3,0,,http://i2.hdslb.com/bfs/face/a85b0b11e4bb2ba2b7e87f98f70f4687f3964a8f.jpg,4,男,我还没有想好叫啥,黑漆漆玛奇朵,318912531,842473459,原评论
我上个月才刚买SC啊 好后悔啊😭,phone,4,0,,http://i2.hdslb.com/bfs/face/da967233df7d9b195a75d7ec54ee73a3bc41969a.jpg,3,男,I just want peace~,WUWUXD,270380437,842473459,原评论
