author,bvid,aid,mid,created,length,comment,description,pic,play,subtitle,title
DJI大疆创新,BV1E54y1C7MF,842473459,232472043,1602731125,01:00,120,"DJI RSC 2 单机版售价2699元，套装版售价3999元，可于大疆天猫、京东、苏宁旗舰店，大疆商城、全国旗舰店及授权门店购买。具体售卖及到货时间以各渠道实际显示为准。
购买地址：https://store.dji.com/product/rsc-2?utm_source=cnbili&utm_medium=social&utm_campaign=rsc-2-launch",https://i0.hdslb.com/bfs/archive/9a18675673a628f6b637c66bcb37c3fa9e3bb5a9.jpg,15189,,大疆全新可折叠稳定器 - DJI RSC 2 现已就位
DJI大疆创新,BV1DA41177UY,329910105,232472043,1602730815,02:27,128,DJI RS 2 单机版售价4999元，套装版售价5999元，现可于大疆天猫、京东、苏宁旗舰店，大疆商城、全国旗舰店及授权门店中购买。购买地址：https://store.dji.com/product/rs-2?utm_source=cnbili&utm_medium=social&utm_campaign=rs-2-launch,https://i0.hdslb.com/bfs/archive/78b9f0d828a2b4cc7fa36e64c0e226ffb73e4389.jpg,18461,,大疆旗舰稳定器 - DJI RS 2 正式登场
DJI大疆创新,BV19K4y1h72B,884978892,232472043,1602684334,03:14,496,禅思L1集成 Livox 激光雷达模块、高精度惯导、测绘相机、三轴云台等模块，与经纬 M300 RTK 和大疆智图组成一体化解决方案，可实时生成真彩色点云，并高效实现复杂场景下的高精度后处理重建。,https://i0.hdslb.com/bfs/archive/ccfd26bc2ffbd0c9305dc035c05a988f5085cd60.jpg,66434,,DJI大疆发布禅思L1激光可见光融合负载，高效构建三维数字世界
DJI大疆创新,BV14a4y1L7rV,669946806,232472043,1602684029,03:12,470,大疆行业应用的首款全画幅传感器相机负载 —— 禅思P1，像素高达4500万，采用全局机械快门及三轴云台设计，支持智能摆动拍摄、实时建图。P1搭配经纬M300 RTK，可高效率、高精度完成大面积建模作业，仅需4架次140分钟，即可获取10平方公里的正射数据。,https://i0.hdslb.com/bfs/archive/656161cc217fd0cbccd94380cb625ac6bf337741.jpg,59834,,DJI大疆发布禅思P1全画幅相机负载，实现航空测绘新突破
DJI大疆创新,BV15T4y1c7op,927207847,232472043,1601201439,01:12,36,"大疆创作者Angelo Meloni  的这天似乎过得不太顺，但不用担心，万能的奶奶和 DJI OM 4 总能帮助他化险为夷。只见她像变魔法一般飞速做出好几道意大利美食，这一切都被DJI OM 4完美捕捉。磁吸快速拆装设计，配合简单易用的智能特性，让 OM 4 成为记录和分享烹饪乐趣的不二选择。

创作者： Angelo Meloni
https://www.instagram.com/basso2012/",https://i0.hdslb.com/bfs/archive/900f51e805c86a72c7941e4f8633c7b3fceca3dd.jpg,6025,,【大疆DJI OM 4】老奶奶的美食vlog
DJI大疆创新,BV1mf4y1D7ee,287243632,232472043,1601093432,02:00,19,"DJI × Junshu 联合出品《大疆如影系列小课堂》，每期教你一个实用摄影小知识。
特别鸣谢：Junshu
使用设备：如影 Ronin SC",https://i0.hdslb.com/bfs/archive/1418c1d09ad111db150bf6eef0cad4c23a7386bc.jpg,4835,,【大疆如影小课堂】如何用云台模式及体感控制流畅运镜？
DJI大疆创新,BV11D4y1o7Gp,712199133,232472043,1600776003,00:16,167,,https://i0.hdslb.com/bfs/archive/2178f7e2dcc0361d4e5b21a5c51d4cf8a7f3d23a.jpg,13763,,【开箱大疆】大 疆 中 秋 礼 盒
DJI大疆创新,BV1m5411b797,457054282,232472043,1600252791,01:22,28,"视频作者：Bradley Devine（https://www.instagram.com/bradleydevine/）
了解 DJI OM 4：https://store.dji.com/product/om-4?utm_source=dji&utm_medium=cnbilibili&utm_campaign=om-4-launch",https://i1.hdslb.com/bfs/archive/994b84b230dbcb2f567377e479943702146b31ee.jpg,4696,,【大疆DJI OM 4】一起下厨房，甜蜜回忆共创造
DJI大疆创新,BV1i5411b7nM,457044071,232472043,1599883222,00:56,46,影片使用大疆 Mavic 2、Mavic Air 2 及 DJI FPV 数字图传系统拍摄，与 Curves Magazin 联合制作。,https://i0.hdslb.com/bfs/archive/ec1b39aa0199df1a5a1061a61fa6f0c3d1335345.jpg,9346,,【DJI × Curves】乘着保时捷跑车，在山间飞驰
DJI大疆创新,BV1ek4y1y7KH,754523750,232472043,1599824609,00:54,52,"DJI OM 4手机云台，拥有酷炫的旋转模式、方便的智能跟随功能、还有一键成片的Story模式，为旅行Vlog拍出吸引力。
视频作者：苏达浩STARHO",https://i1.hdslb.com/bfs/archive/fac185249a33ac567d33e4519e74dfed0ffd9c1a.jpg,12291,,【大疆DJI OM 4】旅行Vlog可以怎么拍？
DJI大疆创新,BV1gT4y1A7od,927093127,232472043,1599476425,01:51,38,如何用轻巧强大的 DJI OM 4 记录浪漫约会？DJI创作者 @蘑菇与阿由 用手机和DJI OM 4手机云台创作了这支浪漫短片，狗粮已被喂饱（嗝,https://i0.hdslb.com/bfs/archive/7f0fc0c084c9cea78f70235af2bd5376f1ef1de9.jpg,5628,,【大疆DJI OM 4】夏天很热，爱要趁热
DJI大疆创新,BV1Bz4y1f7Uo,584416098,232472043,1599364811,01:03,27,"DJI × Junshu 联合出品《大疆如影系列小课堂》，每期教你一个实用摄影小知识。
特别鸣谢：Junshu
使用设备：如影 Ronin SC",https://i1.hdslb.com/bfs/archive/cd6f196d74ff45ca07cee64ec04f8c601bbfa155.jpg,7208,,【大疆如影小课堂】1分钟带你玩转延时摄影技巧
